,Connections,Flagle,Framed,Octordle,Waffle,Wordle,Worldle
2023-06-26,,2.0,7.0,,3.0,2.0,4.0
2023-06-27,,3.0,3.0,13.0,4.0,3.0,1.0
2023-06-28,,2.0,3.0,,5.0,5.0,1.0
2023-06-29,,6.0,2.0,11.0,5.0,,7.0
2023-06-30,,4.0,,13.0,5.0,3.0,1.0
2023-07-01,,2.0,7.0,14.0,3.0,3.0,1.0
2023-07-02,,6.0,3.0,12.0,3.0,3.0,1.0
2023-07-03,,2.0,2.0,,4.0,3.0,4.0
2023-07-04,,2.0,2.0,11.0,5.0,2.0,1.0
2023-07-05,,4.0,7.0,14.0,2.0,3.0,3.0
2023-07-06,,5.0,7.0,,-1.0,4.0,1.0
2023-07-07,,2.0,7.0,12.0,3.0,3.0,1.0
2023-07-08,,,,,,7.0,
2023-07-09,,3.0,,13.0,3.0,4.0,1.0
2023-07-10,,3.0,7.0,13.0,4.0,4.0,1.0
2023-07-11,,5.0,,,,3.0,1.0
2023-07-12,,,,,,,
2023-07-13,,,,,,3.0,
2023-07-14,,2.0,6.0,12.0,4.0,4.0,4.0
2023-07-15,,3.0,7.0,,4.0,3.0,2.0
2023-07-16,,2.0,6.0,,5.0,,1.0
2023-07-17,,3.0,3.0,12.0,4.0,3.0,1.0
2023-07-18,,3.0,4.0,11.0,4.0,4.0,1.0
2023-07-19,,5.0,7.0,13.0,2.0,3.0,1.0
2023-07-20,,7.0,,12.0,5.0,3.0,3.0
2023-07-21,,3.0,3.0,,3.0,5.0,5.0
2023-07-22,,6.0,6.0,,4.0,4.0,1.0
2023-07-23,,4.0,5.0,,3.0,3.0,1.0
2023-07-24,,,,,,5.0,1.0
2023-07-25,,,,,,5.0,
2023-07-26,,,,,,,
2023-07-27,,,,,,,
2023-07-28,,,,,,,
2023-07-29,,,,,,,
2023-07-30,,,,,,,
2023-07-31,,,,,,,
2023-08-01,,,,,,,
2023-08-02,,,,,,,
2023-08-03,,,,,,,
2023-08-04,,,,,,,
2023-08-05,,,,,,,
2023-08-06,,,,,,,
2023-08-07,,,,,,,
2023-08-08,,3.0,,,4.0,5.0,
2023-08-09,,2.0,7.0,12.0,4.0,4.0,1.0
2023-08-10,,2.0,6.0,11.0,4.0,3.0,3.0
2023-08-11,,,,12.0,,,
2023-08-12,,6.0,,11.0,4.0,4.0,5.0
2023-08-13,,6.0,7.0,13.0,1.0,4.0,1.0
2023-08-14,,2.0,7.0,14.0,4.0,3.0,1.0
2023-08-15,,2.0,,,4.0,4.0,2.0
2023-08-16,,3.0,7.0,,,4.0,1.0
2023-08-17,,3.0,7.0,,2.0,4.0,1.0
2023-08-18,,7.0,5.0,,4.0,3.0,1.0
2023-08-19,,2.0,7.0,,3.0,3.0,1.0
2023-08-20,,3.0,5.0,12.0,-1.0,3.0,6.0
2023-08-21,,2.0,7.0,12.0,3.0,3.0,1.0
2023-08-22,,6.0,7.0,12.0,3.0,3.0,1.0
2023-08-23,,3.0,7.0,,3.0,6.0,1.0
2023-08-24,,,,,,4.0,
2023-08-25,,7.0,6.0,14.0,0.0,3.0,1.0
2023-08-26,,,,14.0,0.0,3.0,1.0
2023-08-27,,2.0,7.0,14.0,4.0,4.0,1.0
2023-08-28,,2.0,7.0,,4.0,3.0,2.0
2023-08-29,,7.0,2.0,12.0,4.0,5.0,1.0
2023-08-30,,,,,,5.0,6.0
2023-08-31,,7.0,,10.0,4.0,3.0,1.0
2023-09-01,,3.0,7.0,11.0,4.0,3.0,1.0
2023-09-02,,,6.0,,,,
2023-09-03,,2.0,7.0,14.0,1.0,5.0,1.0
2023-09-04,,,,13.0,3.0,4.0,1.0
2023-09-05,,,,13.0,,3.0,
2023-09-06,,3.0,3.0,11.0,2.0,3.0,1.0
2023-09-07,,2.0,2.0,14.0,3.0,5.0,1.0
2023-09-08,,6.0,7.0,,4.0,2.0,1.0
2023-09-09,,3.0,3.0,,1.0,4.0,1.0
2023-09-10,,,,,,4.0,2.0
2023-09-11,,2.0,7.0,11.0,2.0,4.0,1.0
2023-09-12,,2.0,7.0,13.0,4.0,3.0,1.0
2023-09-13,,2.0,3.0,14.0,4.0,3.0,1.0
2023-09-14,,3.0,7.0,13.0,5.0,3.0,4.0
2023-09-15,,,,,,,
2023-09-16,,2.0,2.0,13.0,3.0,5.0,5.0
2023-09-17,,3.0,4.0,,4.0,4.0,1.0
2023-09-18,,3.0,5.0,14.0,4.0,4.0,1.0
2023-09-19,,6.0,7.0,13.0,3.0,4.0,1.0
2023-09-20,,2.0,3.0,12.0,2.0,3.0,1.0
2023-09-21,,4.0,,,2.0,3.0,1.0
2023-09-22,,3.0,7.0,13.0,2.0,4.0,2.0
2023-09-23,,3.0,7.0,,2.0,3.0,2.0
2023-09-24,,2.0,3.0,14.0,1.0,3.0,7.0
2023-09-25,,2.0,,,0.0,3.0,1.0
2023-09-26,,2.0,7.0,13.0,4.0,3.0,2.0
2023-09-27,,3.0,7.0,,2.0,3.0,1.0
2023-09-28,,2.0,1.0,,,,1.0
2023-09-29,,,,,,,1.0
2023-09-30,,,,,,,
2023-10-01,,3.0,7.0,,0.0,5.0,1.0
2023-10-02,,4.0,7.0,,2.0,3.0,6.0
